breast,1878
cell,1540
patient,1351
health,1115
volume,1074
disease,1015
study,1011
risk,821
treatment,798
woman,669
use,588
year,566
research,561
lung,549
tumor,529
prostate,509
other,495
national,440
also,433
high,421
care,411
death,397
factor,392
effect,387
university,373
cause,366
group,366
institute,365
american,358
case,353
incidence,338
new,334
medical,331
center,322
man,317
diagnosis,315
child,311
therapy,303
rate,301
mortality,293
data,293
exposure,288
information,286
clinical,286
people,285
program,283
report,282
type,281
associate,280
population,277
result,276
table,272
family,271
survival,259
role,257
support,255
show,251
level,251
age,249
control,247
expression,246
trial,244
early,243
state,241
cervical,240
life,239
survivor,239
chronic,236
find,234
common,234
time,233
hospital,228
diabetes,226
heart,224
development,221
social,218
condition,217
only,216
analysis,215
gene,213
provide,212
drug,210
surgery,210
number,204
childhood,204
model,204
service,204
however,203
carcinoma,202
outcome,200
increase,198
medicine,196
stage,195
need,193
radiation,192
evidence,187
problem,181
work,180
bladder,180
association,177
include,177
activity,176
review,175
blood,175
history,174
science,174
system,173
colorectal,173
see,172
prevention,172
african,171
skin,170
protein,169
united,168
colon,167
suggest,163
tissue,163
department,162
low,161
pain,161
make,160
society,158
us,156
important,155
treat,153
response,153
identify,153
community,152
journal,151
increased,150
metastasis,149
compare,148
base,148
significant,148
know,148
different,147
area,147
growth,146
illness,145
metastatic,145
young,144
change,143
target,142
liver,141
tobacco,141
chemotherapy,138
practice,137
method,137
reduce,136
physical,135
finding,134
develop,134
detection,134
gastric,133
function,132
molecular,131
sample,130
site,129
promote,129
leukemia,128
status,128
relationship,127
experience,126
infection,126
disorder,126
long-term,125
likely,125
large,123
uk,122
symptom,121
affect,120
head,120
screening,118
world,117
receptor,117
genetic,116
mechanism,116
body,116
biology,116
inhibitor,116
pancreatic,116
old,115
article,115
test,114
diagnose,114
intervention,114
wang,114
rare,113
progression,113
country,113
pulmonary,113
dna,112
specific,112
environmental,111
arsenic,111
link,110
die,110
indicate,110
month,110
art,110
nature,110
difference,109
great,109
require,109
measure,109
source,109
human,108
cardiovascular,107
mouse,107
line,107
international,107
assessment,106
benefit,105
quality,104
thus,103
nurse,103
chen,103
often,102
individual,102
normal,102
reconstruction,102
school,101
current,100
take,100
prevent,100
receive,100
registry,100
small,99
process,99
recent,98
strategy,98
help,97
literature,97
proliferation,97
management,97
member,97
pacific,97
significantly,96
disparity,96
impact,95
assess,95
available,95
give,95
immune,94
epa,94
pathway,94
parent,94
poor,94
therapeutic,94
major,93
education,93
positive,92
undergo,92
say,92
estimate,91
radiotherapy,91
approach,91
worker,91
policy,90
bowel,90
consider,89
various,89
access,89
form,88
similar,87
author,87
induce,86
local,86
guideline,86
dose,86
even,86
focus,86
w,86
advanced,85
mutation,85
behavior,84
person,84
california,84
long,84
cohort,84
knowledge,84
question,84
part,83
white,83
get,82
effective,81
cigarette,81
de,81
range,80
detect,80
lead,80
physician,80
respiratory,80
water,80
invasive,79
vaccine,78
mastectomy,78
organization,78
healthy,78
x,78
cure,77
period,77
prognosis,77
air,77
fact,76
food,76
agency,76
regulate,76
participant,75
possible,75
biological,75
birth,75
island,75
prevalence,75
way,74
region,74
issue,74
burden,74
section,74
i,74
improve,73
figure,73
obesity,73
hpv,73
brain,72
introduction,72
fibrosis,72
resource,72
rna,72
radon,72
network,71
recurrence,71
usa,71
certain,71
occur,71
particularly,70
think,70
reduction,70
hormone,70
event,70
lack,69
examine,69
others,69
global,69
psychosocial,69
acid,69
clin,69
researcher,68
adult,68
foundation,68
loss,68
contribute,68
psychological,67
lancet,67
canada,67
become,67
previous,67
come,66
describe,66
resistance,66
live,65
lee,65
therefore,65
regulation,65
statistics,65
depression,64
trend,64
both,64
conduct,64
well,64
invasion,64
phase,64
present,63
investigation,63
hypertension,63
decision,63
ability,63
characteristic,63
product,63
especially,63
male,63
antigen,63
marker,63
sd,63
testicular,63
physics,63
awareness,62
annual,62
surgeon,62
go,62
value,62
procedure,62
effort,62
following,62
concern,62
kim,62
account,61
challenge,61
bone,61
stress,61
agent,61
determine,60
comprehensive,60
negative,60
variable,59
surgical,59
asian,59
weight,59
conclusion,59
appear,58
surveillance,58
remain,58
evaluate,58
address,58
